Model type: 	Bend axon, orthodromic
Parameter ID:	526
Pulse duration in ms:	3.1000
Field orientation in degrees:	125.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	64.4627  V/m: 	 no AP.
Increasing amplitude: 	70.2971  V/m: 	 no AP.
Increasing amplitude: 	76.6595  V/m: 	 no AP.
Increasing amplitude: 	83.5978  V/m: 	 no AP.
Increasing amplitude: 	91.1641  V/m: 	 no AP.
Increasing amplitude: 	99.4151  V/m: 	 no AP.
Increasing amplitude: 	0.1084 kV/m: 	 no AP.
Increasing amplitude: 	0.1182 kV/m: 	 no AP.
Increasing amplitude: 	0.1289 kV/m: 	 no AP.
Increasing amplitude: 	0.1406 kV/m: 	 no AP.
Increasing amplitude: 	0.1533 kV/m: 	 no AP.
Increasing amplitude: 	0.1672 kV/m: 	 no AP.
Increasing amplitude: 	0.1823 kV/m: 	 no AP.
Increasing amplitude: 	0.1988 kV/m: 	 no AP.
Increasing amplitude: 	0.2168 kV/m: 	 no AP.
Increasing amplitude: 	0.2365 kV/m: 	 no AP.
Increasing amplitude: 	0.2579 kV/m: 	 no AP.
Increasing amplitude: 	0.2812 kV/m: 	 no AP.
Increasing amplitude: 	0.3066 kV/m: 	 no AP.
Increasing amplitude: 	0.3344 kV/m: 	 no AP.
Increasing amplitude: 	0.3647 kV/m: 	 no AP.
Increasing amplitude: 	0.3977 kV/m: 	 no AP.
Increasing amplitude: 	0.4337 kV/m: 	 no AP.
Increasing amplitude: 	0.4729 kV/m: 	 no AP.
Increasing amplitude: 	0.5157 kV/m: 	 no AP.
Increasing amplitude: 	0.5624 kV/m: 	 no AP.
Increasing amplitude: 	0.6133 kV/m: 	 no AP.
Increasing amplitude: 	0.6688 kV/m: 	 no AP.
Increasing amplitude: 	0.7293 kV/m: 	 no AP.
Increasing amplitude: 	0.7953 kV/m: 	 no AP.
Increasing amplitude: 	0.8673 kV/m: 	 no AP.
Increasing amplitude: 	0.9458 kV/m: 	 no AP.
Increasing amplitude: 	1.0314 kV/m: 	 no AP.
Increasing amplitude: 	1.1248 kV/m: 	 no AP.
Increasing amplitude: 	1.2266 kV/m: 	 no AP.
Increasing amplitude: 	1.3376 kV/m: 	 no AP.
Increasing amplitude: 	1.4586 kV/m: 	 no AP.
Increasing amplitude: 	1.5906 kV/m: 	 no AP.
Increasing amplitude: 	1.7346 kV/m: 	 no AP.
Increasing amplitude: 	1.8916 kV/m: 	 no AP.
Increasing amplitude: 	2.0628 kV/m: 	 no AP.
Increasing amplitude: 	2.2495 kV/m: 	 no AP.
Increasing amplitude: 	2.4531 kV/m: 	 no AP.
Increasing amplitude: 	2.6751 kV/m: 	 no AP.
Increasing amplitude: 	2.9172 kV/m: 	 no AP.
Increasing amplitude: 	3.1813 kV/m: 	 no AP.
Increasing amplitude: 	3.4692 kV/m: 	 no AP.
Increasing amplitude: 	3.7832 kV/m: 	 no AP.
Increasing amplitude: 	4.1256 kV/m: 	 no AP.
Increasing amplitude: 	4.4990 kV/m: 	 no AP.
Increasing amplitude: 	4.9062 kV/m: 	 no AP.
Increasing amplitude: 	5.3503 kV/m: 	 no AP.
Increasing amplitude: 	5.8345 kV/m: 	 no AP.
Increasing amplitude: 	6.3626 kV/m: 	 no AP.
Increasing amplitude: 	6.9384 kV/m: 	 no AP.
Increasing amplitude: 	7.5664 kV/m: 	 no AP.
Increasing amplitude: 	8.2512 kV/m: 	 no AP.
Increasing amplitude: 	8.9980 kV/m: 	 no AP.
